고유번호,구분코드,구분명,측정일자,측정수위,통신상태,위치정보
10-0009,10,도봉,2022-11-07 09:24:00.0,0.05,통신양호,서울특별시 도봉구 도봉로180길 84 도봉동체육센터 북측 삼거리 중앙
11-0001,11,노원,2022-11-07 09:24:00.0,0.19,통신양호,노원구 동일로173가길 29앞 맨홀(동일로173가길29~동일로173가길28간 중앙차선내 공릉초등교북축)
11-0002,11,노원,2022-11-07 09:24:00.0,0.06,통신양호,서울특별시 노원구 노해로 437 노원구청 북측 공영주차장 28번구역
11-0003,11,노원,2022-11-07 09:24:00.0,0.01,통신양호,서울특별시 노원구 동일로215길 48 동부간선도로에서 상계주공2단지 입구
11-0004,11,노원,2022-11-07 09:24:00.0,0.06,통신양호,서울특별시 노원구 동일로213길 21 당현초등학교 정문앞 삼거리
11-0005,11,노원,2022-11-07 09:24:00.0,0.06,통신양호,서울특별시 노원구 동일로213길 77 상계주동1단지 122동 출입구 앞
11-0006,11,노원,2022-11-07 09:24:00.0,0.06,통신양호,서울특별시 노원구 동일로237마길 51 송이월드 아파트 좌측 도로 중앙
11-0007,11,노원,2022-11-07 09:24:00.0,0.38,통신양호,서울특별시 노원구 동일로239길 41-8 굿모닝빌라 미소홈타운 도로 중앙
11-0008,11,노원,2022-11-07 09:24:00.0,0.2,통신양호,서울특별시 노원구 동일로237길 41 상계현대1차A 102동 좌측 골목 입구
11-0009,11,노원,2022-11-07 09:24:00.0,0.03,통신양호,서울특별시 노원구 동일로231나길 14 동일씨티빌아파트 좌측 도로 중앙
11-0010,11,노원,2022-11-07 09:24:00.0,0.15,통신양호,서울특별시 노원구 동일로231길 62 상계 중앙하이츠 부출입구 앞 도로
11-0011,11,노원,2022-11-07 09:24:00.0,2.0,통신양호,서울특별시 노원구 수락산로 246 대창센시티 아파트 정문 앞 도로
12-0001,12,은평,2022-11-07 09:23:35.0,0.11,통신양호,은평구 수색로 257앞 맨홀(모래내목재앞 보도상 맨홀)
12-0002,12,은평,2022-11-07 09:23:36.0,0.02,통신양호,은평구 증산로11길 7 (장미빌라 앞~증산로11길6앞 사거리)
12-0003,12,은평,2022-11-07 09:23:36.0,0.05,통신양호,은평구 증산로19길 7옆 맨홀(DoDo헤어소망교회~세븐일레븐 사이)
12-0004,12,은평,2022-11-07 09:23:36.0,0.06,통신양호,서울특별시 은평구 녹번동 159-7 새록어린이 공원 앞 도로에 위치
12-0005,12,은평,2022-11-07 09:23:36.0,0.05,통신양호,서울특별시 은평구 녹번동 160-36 SC제일은행 앞 도로에 위치
12-0006,12,은평,2022-11-07 09:23:36.0,0.05,통신양호,서울특별시 은평구 녹번동 180 위너셰프 앞 도로에 위치
12-0007,12,은평,2022-11-07 09:23:36.0,0.04,통신양호,서울특별시 은평구 역촌동 39-1 미랜드 아파트 옆 도로에 위치
12-0008,12,은평,2022-11-07 09:23:36.0,0.06,통신양호,서울특별시 은평구 역촌동 37-40 KT엠 텔레콤 역촌점 앞 도로에 위치
13-0001,13,서대문,2022-11-07 09:24:00.0,0.09,통신양호,서대문구 연세로5길 32앞 맨홀(신보건약국앞~현대백화점신촌점뒤 삼거리)
13-0002,13,서대문,2022-11-07 09:24:00.0,0.25,통신양호,서대문구 거북골로22길 34앞 맨홀(황제빌라앞 사거리)
13-0003,13,서대문,2022-11-07 09:24:00.0,0.12,통신양호,서대문구 신촌역로 30옆 터널앞 그레이팅(경의선 신촌민자역사 좌측)
13-0004,13,서대문,2022-11-07 09:24:00.0,0.06,통신양호,서울특별시 서대문구 북아현로 77 맨홀(한마음하이빌 앞)
13-0005,13,서대문,2022-11-07 09:24:00.0,0.06,통신양호,서울특별시 서대문구 북아현동 3-130 중앙여고 경남이파트 방면 버스정류장 앞 도로에 위치
13-0006,13,서대문,2022-11-07 09:24:00.0,0.04,통신양호,서울특별시 서대문구 북아현동 134-27 능안로 입구  버스정류장 앞 위치
13-0007,13,서대문,2022-11-07 09:24:00.0,0.02,통신양호,서울특별시 서대문구 북아현동 87 솜씨가구 규수방 앞 도로에 위치
13-0008,13,서대문,2022-11-07 09:24:00.0,0.04,통신양호,서울특별시 서대문구 북아현동 135-11 e편한세상 신촌 오피스텔 맞은편 정도약국 앞 골목에 위치
13-0009,13,서대문,2022-11-07 09:24:00.0,0.05,통신양호,서울특별시 서대문구 창천동 9-20 KT 신촌연세대점 앞 나무 구조물 중앙에 위치
13-0010,13,서대문,2022-11-07 09:24:00.0,0.1,통신양호,서울특별시 서대문구 창천동 31-123 신총 플레이 버스 앞 도로에 위치
13-0011,13,서대문,2022-11-07 09:24:00.0,0.15,통신양호,서울특별시 서대문구 북가좌동 292-12 KT가좌지사 동도 하이츠아파트 방면 버스정류장에 위치
14-0001,14,마포,2022-11-07 09:24:00.0,0.07,통신양호, 마포구 동교로 200앞 맨홀  <이대조뼈다귀앞(동교로측)KT신촌지사옆>
14-0002,14,마포,2022-11-07 09:24:00.0,0.11,통신양호,마포구 동교로 275앞 맨홀(수영빌딩앞)
14-0003,14,마포,2022-11-07 09:24:00.0,0.08,통신양호,마포구 동교로 161앞 맨홀<(주)기흥성앞 유창빌딩(동교로158월편)>
14-0004,14,마포,2022-11-07 09:24:00.0,0.13,통신양호,마포구 동교로 79앞 맨홀(대창전기조명앞 성산초등교 월편)
14-0005,14,마포,2022-11-07 09:24:00.0,0.2,통신양호,마포구 성미산로 110앞 맨홀<마포대진유치원앞~희승(성미산로109)앞 중앙차선 내>
14-0006,14,마포,2022-11-07 09:24:00.0,0.09,통신양호,마포구 성미산로 66앞 맨홀(리치빌앞)
14-0007,14,마포,2022-11-07 09:24:00.0,0.13,통신양호,마포구 망원로 89앞 맨홀<목화아파트앞~해물팥칼국수(망원로92)앞 중앙차선내>
14-0008,14,마포,2022-11-07 09:24:00.0,0.04,통신양호,마포구 대흥로 60앞 중앙차선내 맨홀(스카이빌딩앞 횡단보도전)
14-0009,14,마포,2022-11-07 09:24:00.0,0.24,통신양호,마포구 서강로 119 반석빌딩 좌측앞 하수박스 천장      (대박황소곱창 앞~반석빌딩 좌측입구측 코너)
14-0010,14,마포,2022-11-07 09:24:00.0,0.03,통신양호,서울특별시 마포구 성산동 13-15 대진유치원 앞 횡단보도에 위치
14-0011,14,마포,2022-11-07 09:24:00.0,0.03,통신양호,서울특별시 마포구 서교동 361-12 홍대 클럽거리 홍인빌딩 맞은편 골목 입구에 위치
14-0013,14,마포,2022-11-07 09:24:00.0,0.02,통신양호,서울특별시 마포구 당인동 12-21 장미아파트 맞은 편 빌라 들어가는 입구에 위치
14-0014,14,마포,2022-11-07 09:24:00.0,0.07,통신양호,서울특별시 마포구 합정동 357-3 두영이지안 아파트  앞 횡단보도에 위치
14-0015,14,마포,2022-11-07 09:24:00.0,0.05,통신양호,서울특별시 마포구 합정동 358-6 유니아트홀 앞 횡단보도에 위치
14-0016,14,마포,2022-11-07 09:24:00.0,0.18,통신양호,서울특별시 마포구 상수동 281-2 은하빌라 건양사 빌딩 사이 골목길 진입 전 도로에 위치
